,Late Delivery Probability,Risk Category,Actual Late Delivery,Key Risk Drivers,Order Region,Customer Segment,Customer Country,Product Name,Category Name,Department Name,Shipping Mode,Order Status
77007,0.9999831,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Central America,Home Office,EE. UU.,Bridgestone e6 Straight Distance NFL Carolina,Electronics,Outdoors,First Class,ON_HOLD
47160,0.9999808,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Canada,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,COMPLETE
75357,0.9999802,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Outdoors,First Class,PENDING
172223,0.999977,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,EE. UU.,Sports Books ,Books ,Book Shop,First Class,PENDING_PAYMENT
58426,0.99997544,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Asia,Corporate,EE. UU.,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Outdoors,First Class,COMPLETE
175341,0.999972,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Eastern Asia,Consumer,EE. UU.,Lawn mower,Garden,Outdoors,First Class,ON_HOLD
35654,0.9999696,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Corporate,Puerto Rico,Top Flite Women's 2014 XL Hybrid,Golf Apparel,Outdoors,First Class,PROCESSING
146328,0.99996936,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",South of  USA ,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING_PAYMENT
178439,0.9999689,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Home Office,Puerto Rico,Lawn mower,Garden,Outdoors,First Class,CLOSED
175309,0.99996865,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Oceania,Corporate,EE. UU.,Lawn mower,Garden,Outdoors,First Class,CLOSED
